OMAP-26: Organ Mapping Antibody Panel (OMAP) for Multiplexed Antibody-Based Imaging of Human Kidney with CODEX,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Thai Pham; Melissa Farrow,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0002-6124-7678; 0000-0002-1602-2082,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,Diane Saunders; Ellen M. Quardokus,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0002-8849-6746; 0000-0001-7655-4833,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,https://doi.org/10.1016/j.kint.2021.08.033; https://doi.org/10.1016/j.xpro.2021.100747,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,"June 15, 2025",,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.0,,(will delete column),,,,,,,,,,,,,,,,,,,,,,,
omap_id,uniprot_accession_number,HGNC_ID,label/synonym,target_symbol,host,isotype,clonality,clone_id,vendor,catalog_number,lot_number,recombinant,concentration_value,dilution_factor,conjugate,rrid,method,tissue_preservation,cycle_number,fluorescent_reporter,protocol_doi,author_orcids,core_panel,rationale,organ,organ_uberon
OMAP-26,P08575,HGNC:9666,CD45,PTPRC,Mouse,IgG1,Monoclonal,HI30,Abcam,ab269347,,N,,200,Oligonucleotide,AB_3678440,IMS-CODEX,Fresh frozen,6,AF750,https://doi.org/10.17504/protocols.io.x54v9rb24v3e/v1,0000-0002-6124-7678; 0000-0002-1602-2082,N,This marker defines leukocytes.,Kidney,UBERON:0002113
OMAP-26,P02462,HGNC:2202,,COL4A1,Rabbit,IgG,Monoclonal,EPR20966,Abcam,ab226485,,Y,,200,Oligonucleotide,AB_3674383,IMS-CODEX,Fresh frozen,7,Atto550,https://doi.org/10.17504/protocols.io.x54v9rb24v3e/v1,0000-0002-6124-7678; 0000-0002-1602-2082,N,"This marker defines the tubular basement membrane, mesangial matrix, and glomerular capsule.",Kidney,UBERON:0002113
OMAP-26,P02751,HGNC:3778,Fibronectin,FN1,Rabbit,IgG,Monoclonal,EPR23110-46,Abcam,ab268022,,Y,,200,Oligonucleotide,AB_2927764,IMS-CODEX,Fresh frozen,7,Cy5,https://doi.org/10.17504/protocols.io.x54v9rb24v3e/v1,0000-0002-6124-7678; 0000-0002-1602-2082,N,This marker defines fibroblasts and injured cells.,Kidney,UBERON:0002113
OMAP-26,P46013,HGNC:7107,Ki67,MKI67,Mouse,IgG1,Monoclonal,B56,Abcam,ab279657,,Y,,200,Oligonucleotide,AB_3678441,IMS-CODEX,Fresh frozen,7,AF750,https://doi.org/10.17504/protocols.io.x54v9rb24v3e/v1,0000-0002-6124-7678; 0000-0002-1602-2082,N,This marker defines proliferating cells.,Kidney,UBERON:0002113
OMAP-26,P62736,HGNC:130,alpha SMA,ACTA2,Mouse,IgG2a,Monoclonal,1A4,Abcam,ab240654,,Y,,200,Oligonucleotide,AB_223019,IMS-CODEX,Fresh frozen,8,Atto550,https://doi.org/10.17504/protocols.io.x54v9rb24v3e/v1,0000-0002-6124-7678; 0000-0002-1602-2082,Y,This marker defines vascular smooth muscle cells.,Kidney,UBERON:0002113
OMAP-26,P48681,HGNC:7756,Nestin,NES,Rabbit,IgG,Monoclonal,EPR1301(2),Abcam,ab242400,,Y,,200,Oligonucleotide,AB_3678442,IMS-CODEX,Fresh frozen,8,Cy5,https://doi.org/10.17504/protocols.io.x54v9rb24v3e/v1,0000-0002-6124-7678; 0000-0002-1602-2082,N,This marker defines podocytes and endothelium.,Kidney,UBERON:0002113
OMAP-26,P29972,HGNC:633,,AQP1,Rabbit,IgG,Monoclonal,EPR11588(B),Abcam,ab178352,,Y,,200,Oligonucleotide,AB_2876888,IMS-CODEX,Fresh frozen,9,Atto550,https://doi.org/10.17504/protocols.io.x54v9rb24v3e/v1,0000-0002-6124-7678; 0000-0002-1602-2082,N,This marker defines proximal tubulues and descending thin limbs.,Kidney,UBERON:0002113
OMAP-26,P08670,HGNC:12692,Vimentin,VIM,Rabbit,IgG,Monoclonal,EPR3776,Abcam,ab193555,,Y,,200,Oligonucleotide,AB_2814713,IMS-CODEX,Fresh frozen,9,Cy5,https://doi.org/10.17504/protocols.io.x54v9rb24v3e/v1,0000-0002-6124-7678; 0000-0002-1602-2082,N,This marker defines glomerular cells and fibroblasts.,Kidney,UBERON:0002113
OMAP-26,P08729,HGNC:6445,Cytokeratin 7,KRT7,Rabbit,IgG,Monoclonal,EPR17078,Abcam,ab220804,,Y,,200,Oligonucleotide,AB_3678443,IMS-CODEX,Fresh frozen,10,Atto550,https://doi.org/10.17504/protocols.io.x54v9rb24v3e/v1,0000-0002-6124-7678; 0000-0002-1602-2082,N,"This marker defines epithelial cells of the distal convoluted tubules, connecting tubules, and collecting ducts.",Kidney,UBERON:0002113
OMAP-26,P12830,HGNC:1748,E-Cadherin,CDH1,Goat,IgG,Polyclonal,,R&D Systems,AF748,,N,,200,Oligonucleotide,AB_355568,IMS-CODEX,Fresh frozen,10,AF750,https://doi.org/10.17504/protocols.io.x54v9rb24v3e/v1,0000-0002-6124-7678; 0000-0002-1602-2082,N,"This marker defines epithelial cells of the distal convoluted tubules, connecting tubules, collecting ducts, descending thin limbs, and thick ascending limb of Henle.",Kidney,UBERON:0002113
OMAP-26,P98164,HGNC:6694,Megalin,LRP2,Rabbit,IgG,Monoclonal,EPR26093-84,Abcam,ab309087,,Y,,200,Oligonucleotide,AB_3678444,IMS-CODEX,Fresh frozen,11,Cy5,https://doi.org/10.17504/protocols.io.x54v9rb24v3e/v1,0000-0002-6124-7678; 0000-0002-1602-2082,Y,This marker defines proximal tubules.,Kidney,UBERON:0002113
OMAP-26,"P05023, P50993, P13637, Q13733","HGNC:799, HGNC:800, HGNC:801, HGNC:14073",NaKATPase,"ATP1A1, ATP1A2, ATP1A3, ATP1A4",Rabbit,IgG,Monoclonal,EPR25414-249,Abcam,ab300508,,Y,,200,Oligonucleotide,AB_3678445,IMS-CODEX,Fresh frozen,11,AF750,https://doi.org/10.17504/protocols.io.x54v9rb24v3e/v1,0000-0002-6124-7678; 0000-0002-1602-2082,N,This marker defines the thick ascending limb of Henle.,Kidney,UBERON:0002113
