Organ Mapping Antibody Panel (OMAP) for Multiplexed Antibody-Based Imaging of Human Lymph Node with IBEX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Andrea J. Radtke,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0003-4379-8967,,,,,,,,,,,,,,,,,,,
Reviewer(s):,"Elaine Jaffe (0000-0003-4632-0301); Stefania Pittaluga (0000-0001-7688-1439); Ronald N. Germain (0000-0003-1495-9143),  Ellen Quardokus (0000-0001-7655-4833)",,,,,,,,,,,,,,,,,,,
General Publication(s):,"DOI: 10.1073/pnas.2018488117, DOI: 10.1038/s41596-021-00644-9, DOI: 10.1038/s41556-021-00788-6",,,,,,,,,,,,,,,,,,,
Data DOI: https://doi.org/10.48539/HBM445.CZKW.526
Date: 12-01-2021
,,,,,,,,,,,,,,,,,,,,
UniProt Accession Number,Target Name/Protein Biomarker,Antibody Name,Host Organism and Isotype,Clonality,Vendor,Catalog Number,Lot Number,Recombinant,Dilution/Concentration,Conjugate,RRID,Application,Method,Tissue Preservation,Cycle Number,DOI for Protocol,ORCID ID of Author,Core Panel (4-6 markers),Essential 25-plex,Rationale
P20702,CD11c,Alexa Fluor® 700 Mouse Anti-Human CD11c,"Mouse BALB/c IgG1, κ",B-Ly6,BD Biosciences,561352,9185579,No,15 ug/mL,AF700,AB_10612006,IHC,IBEX,1% PFA Fixed Frozen,3,,,N,Y,"Essential marker for dendritic cells, expressed by many cells"
P01732,CD8,Alexa Fluor® 488 anti-human CD8 Antibody,"Mouse IgG1, κ",SK1,BioLegend,344716,B279545,No,4 ug/mL,AF488,AB_10549301,IHC,IBEX,1% PFA Fixed Frozen,4,,,N,Y,Essential marker for cytotoxic T cells
P01730,CD4,"CD4 Monoclonal Antibody (RPA-T4), Alexa Fluor 532, eBioscience™","Mouse IgG1, κ",RPA-T4,Thermo,58-0049-42,2103160,No,4 ug/mL,AF532,AB_2802361,IHC,IBEX,1% PFA Fixed Frozen,4,,,N,Y,"Essential marker for T helper cells, expressed on myeloid cells"
Q9BZS1,FOXP3,"FOXP3 Monoclonal Antibody (236A/E7), eFluor 570, eBioscience™","Mouse IgG1, κ",236A/E7,Thermo,41-4777-82,2308027,No,4 ug/mL,eF570,AB_2573609,IHC,IBEX,1% PFA Fixed Frozen,4,,,N,Y,"Essential marker for T regulatory cells, add CD25 (M-A251) to more exhaustive panels"
P01589,CD25,Alexa Fluor® 647 anti-human CD25 Antibody,"Mouse IgG1, κ",M-A251,BioLegend,356128,B269090,No,4 ug/mL,AF647,AB_2563588,IHC,IBEX,1% PFA Fixed Frozen,4,,,N,N,"Key marker for T regulatory cells with FOXP3, activation marker for T and B cells"
Q9BYG3,Ki-67,Alexa Fluor® 700 Mouse anti-Ki-67,"Mouse IgG1, κ",B56,BD Biosciences,561277,9315354,No,4 ug/mL,AF700,AB_10611571,IHC,IBEX,1% PFA Fixed Frozen,4,,,Y,Y,"Dividing cells, defines germinal center, higher in dark zone, alternatives include BCL6"
Q5ZPR3,ICOS,Alexa Fluor® 488 anti-human/mouse/rat CD278 (ICOS) Antibody,Armenian Hamster IgG,CS98.4A,BioLegend,313514,B265734,No,10 ug/mL,AF488,AB_2122584,IHC,IBEX,1% PFA Fixed Frozen,5,,,N,N,"Marker for T follicular helper cells, activated T cells, use PD-1"
Q53X90,CXCL13,Alexa Fluor® 532 CXCL13/BLC/BCA-1 Antibody,Goat IgG,Polyclonal,R&D,AF801 (Unconjugated),BAS0317101-041617AF532,No,10 ug/mL,AF532 (Custom-Thermo A20182),AB_2892755,IHC,IBEX,1% PFA Fixed Frozen,5,,,N,N,"Marker for fibroblastic reticular cells, follicular dendritic cells"
Q15116,PD-1,PE anti-human CD279 (PD-1) Antibody,"Mouse IgG1, κ",EH12.2H7,BioLegend,329906,B252643,No,1 ug/mL,PE,AB_940483,IHC,IBEX,1% PFA Fixed Frozen,5,,,N,Y,"Essential marker for T follicular helper cells, activated T cells"
Q07108,CD69,Alexa Fluor® 647 anti-human CD69 Antibody,"Mouse IgG1, κ",FN50,BioLegend,310918,B246313,No,4 ug/mL,AF647,AB_528871,IHC,IBEX,1% PFA Fixed Frozen,5,,,N,N,"Activated T cells, B cells, NK cells, granulocytes, thymocytes, platelets, Langerhans cells"
P49961,CD39,FITC anti-human CD39 Antibody,"Mouse IgG1, κ",A1,BioLegend,328206,B238182,No,4 ug/mL,FITC,AB_940425,IHC,IBEX,1% PFA Fixed Frozen,6,,,N,N,Activated T and B cells
Q9Y5Y7,Lyve-1,Alexa Fluor® 532 Human LYVE-1 Antibody,Goat IgG,Polyclonal,R&D,AF2089 (Unconjugated),KPY0117111041619AF532,No,10 ug/mL,AF532 (Custom-Thermo A20182),AB_2892756,IHC,IBEX,1% PFA Fixed Frozen,6,,,N,Y,"Essential marker for lymphatic endothelial cells, expressed by some macrophages"
P17927,CD35,PE anti-human CD35 Antibody,"Mouse IgG1, κ",E11,BioLegend,333406,B189483,No,0.5 ug/mL,PE,AB_2292231,IHC,IBEX,1% PFA Fixed Frozen,6,,,N,N,"Marker for follicular dendritic cells, macrophages, use CD21"
P34810,CD68,Anti-CD68 Antibody (KP1),"Mouse IgG1, κ",KP1,Santa Cruz,sc-20060,L0712,No,2 ug/mL,AF647,AB_2891106,IHC,IBEX,1% PFA Fixed Frozen,6,,,N,Y,"Expressed by many myeloid cells (tingible body macrophages, M1, dendritic cells)"
P62736,a-SMA,"Alpha-Smooth Muscle Actin Monoclonal Antibody (1A4), Alexa Fluor 488, eBioscience™","Mouse IgG2a, κ",1A4,Thermo,53-9760-82,2141128,No,1 ug/mL,AF488,AB_2574461,IHC,IBEX,1% PFA Fixed Frozen,7,,,N,Y,"Lineage marker for smooth muscle cells, multiple cell types (fibroblasts) and structures (vasculature)"
P51884,Lumican,Alexa Fluor® 532 Human Lumican Antibody,Goat IgG,Polyclonal,R&D,AF2846 (Unconjugated),,No,10 ug/mL,AF532 (Custom-Thermo A20182),AB_2892757,IHC,IBEX,1% PFA Fixed Frozen,7,,,Y,Y,"Defines capsule, fibroblasts, extracellular matrix"
Q15306,IRF4,PE anti-IRF4 Antibody,Rat IgG1,IRF4.3E4,BioLegend,646404,B256112,No,10 ug/mL,PE,AB_2563005,IHC,IBEX,1% PFA Fixed Frozen,7,,,N,N,"Transcription factor expressed by plasma cells, Tregs, many cells"
Q9NNX6,DC-SIGN,Alexa Fluor® 647 anti-human CD209 (DC-SIGN) Antibody,"Mouse IgG2a, κ",9E9A8,BioLegend,330112,B211206,No,10 ug/mL,AF647,AB_1186092,IHC,IBEX,1% PFA Fixed Frozen,7,,,N,N,"Dendritic cells, myeloid cells"
P17661,Desmin,Recombinant Alexa Fluor® 488 Anti-Desmin antibody,Rabbit IgG,Y66,Abcam,Ab185033,GR3269405-2,Yes,5 ug/mL,AF488,AB_2892748,IHC,IBEX,1% PFA Fixed Frozen,8,,,N,N,"Many cells, fibroblastic reticular cells, myofibroblasts"
P56199,CD49a,PE anti-human CD49a Antibody,"Mouse IgG1, κ",TS2/7,BioLegend,328303,B201914,No,2 ug/mL,PE,AB_1236441,IHC,IBEX,1% PFA Fixed Frozen,8,,,N,Y,Multiple cell lineages
Q13241,CD94,PE anti-human CD94 Antibody,"Mouse IgG1, κ",DX22,BioLegend,305506,B224156,No,2 ug/mL,AF488,AB_314536,IHC,IBEX,1% PFA Fixed Frozen,9,,,N,Y,"Defines, reasonably well, NK cells; substitute for CD56, rare cells in LN, CD56 as an alternative"
P08670,Vimentin,Alexa Fluor® 532 anti-Vimentin Antibody,Mouse IgG2a,O91D3,BioLegend,99488 (Custom),B305534,No,1 ug/mL,AF532 (Custom-BioLegend),AB_2892753,IHC,IBEX,1% PFA Fixed Frozen,9,,,N,Y,"Essential, pan-mesenchymal cell marker"
P08575,CD45,CD45 PE-iFluor™ 594,Mouse IgG2a,F10-89-4,Caprico Biotechnologies,1016185,16A5T1,No,1 ug/mL,PE/iFluor594,AB_2892742,IHC,IBEX,1% PFA Fixed Frozen,9,,,N,Y,"Essential, pan-immune cell marker"
P16070,CD44,Alexa Fluor® 647 anti-mouse/human CD44 Antibody,"Rat IgG2b, κ",IM7,BioLegend,103018,B255990,No,10 ug/mL,AF647,AB_493681,IHC,IBEX,1% PFA Fixed Frozen,9,,,N,Y,"Essential, multiple lineages, metastases in lymph nodes depending on spatial pattern and other markers"
