OMAP-2,P07766,HGNC:1674,CD3E,Mouse,IgG1 kappa,Monoclonal,UCHT1,BioLegend,300402,,N,,200,Oligonucleotide,AB_314056,CODEX,Fresh frozen,8,Cy3,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,Y,Essential marker of T cells. Defines T cell zone of gut-associated lymphoid tissues (GALT). This marker represents a core panel and prioritized target in the intestine OMAP.,intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
OMAP-2,P08575-4,HGNC:9666,PTPRC,Mouse,IgG2a kappa,Monoclonal,UCHL1,BioLegend,304202,,N,,100,Oligonucleotide,AB_314418,CODEX,Fresh frozen,8,Cy5,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,N,CD45RO is used to define a particular T cell activation state.,intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
OMAP-2,P28907,HGNC:1667,CD38,Mouse,IgG1 kappa,Monoclonal,HB-7,BioLegend,356602,,N,,500,Oligonucleotide,AB_2561794,CODEX,Fresh frozen,9,AF488,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,N,Used for identification of plasma cells. This marker represents a prioritized target in the intestine OMAP.,intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
OMAP-2,P04216,HGNC:11801,THY1,Mouse,IgG1 kappa,Monoclonal,5E10,BioLegend,328102,,N,,200,Oligonucleotide,AB_940393,CODEX,Fresh frozen,9,Cy3,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,N,"Expressed by stromal cells as well as blood endothelial cells, T cells, and NK cells.",intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
OMAP-2,P16871,HGNC:6024,IL7R,Mouse,IgG1 kappa,Monoclonal,A019D5,BioLegend,351302,,N,,100,Oligonucleotide,AB_10718513,CODEX,Fresh frozen,9,Cy5,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,N,Used to define a particular T cell activation state.,intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
OMAP-2,P62736,HGNC:130,ACTA2,Mouse,IgG2a kappa,Monoclonal,1A4,Thermo Fisher Scientific,14-9760-82,,N,,200,Oligonucleotide,AB_2572996,CODEX,Fresh frozen,10,AF488,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,Y,"Used for identification of smooth muscle cells. The combination of collagen IV, pan-cytokeratin, alpha smooth muscle actin, and vimentin can be used to define the villi, crypts, basal membrane, and lamina propria. This marker represents a core panel and prioritized target in the intestine OMAP.",intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
OMAP-2,P10721,HGNC:6342,KIT,Mouse,IgG1 kappa,Monoclonal,YB5.B8,BD Biosciences,555713,,N,,200,Oligonucleotide,AB_2131466,CODEX,Fresh frozen,10,Cy3,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,N,Used for identification of Interstitial cells of Cajal and mast cells. This marker represents a prioritized target in the intestine OMAP.,intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
OMAP-2,"P13645, P02533, P19012, P08779, P08727, P04264, P35908, P12035, P19013, P13647, P08729, P05787","HGNC:6413, HGNC:6416, HGNC:6421, HGNC:6423, HGNC:6436, HGNC:6412, HGNC:6439, HGNC:6440, HGNC:6441, HGNC:6442, HGNC:6445, HGNC:6446","KRT10, KRT14, KRT15, KRT16, KRT19, KRT1, KRT2, KRT3, KRT4, KRT5, KRT7, KRT8",Mouse,IgG1 kappa,Monoclonal,AE-1/AE-3,BioLegend,914204,,N,,200,Oligonucleotide,AB_2616960,CODEX,Fresh frozen,10,Cy5,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,Y,"Pan-epithelial marker for segmentation of epithelial cells. The combination of collagen IV, pan-cytokeratin, alpha smooth muscle actin, and vimentin can be used to define the villi, crypts, basal membrane, and lamina propria. This marker represents a core panel and prioritized target in the intestine OMAP.",intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
OMAP-2,P15941,HGNC:7508,MUC1,Mouse,IgG1 kappa,Monoclonal,MUC1/955,NSJ Bioreagents,V2372SAF,,N,,200,Oligonucleotide,AB_2864392,CODEX,Fresh frozen,11,AF488,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,N,"Marker for epithelial cells, specifically enterocytes.",intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
OMAP-2,Q99626,HGNC:1806,CDX2,Rabbit,IgG,Monoclonal,D38B1,Nolan Lab,4267,,N,,200,Oligonucleotide,AB_2864405,CODEX,Fresh frozen,11,Cy3,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,N,Nuclear marker of intestinal epithelial cells expressed by early epithelial cells.,intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
OMAP-2,P34810,HGNC:1693,CD68,Mouse,IgG2b kappa,Monoclonal,Y1/82A,BioLegend,333802,,N,,200,Oligonucleotide,AB_1089058,CODEX,Fresh frozen,11,Cy5,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,N,Expressed by many subsets of myeloid cells including proinflammatory M1 macrophages. This marker represents a prioritized target in the intestine OMAP.,intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
OMAP-2,P10645,HGNC:1929,CHGA,Mouse,IgG1 kappa,Monoclonal,LK2H10 + PHE5 + CGA/414,Novus Biologicals,NBP2-34674,,N,,200,Oligonucleotide,AB_2864388,CODEX,Fresh frozen,12,AF488,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,N,Used for identification of neural cells and neuroendocrine cells. This marker represents a prioritized target in the intestine OMAP.,intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
OMAP-2,P20023,HGNC:2336,CR2,Mouse,IgG1 kappa,Monoclonal,Bu32,BioLegend,354902,,N,,500,Oligonucleotide,AB_11219188,CODEX,Fresh frozen,12,Cy3,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,N,Used for identification of B cells and follicular dendritic cells in gut-associated lymphoid tissue (GALT). This marker represents a prioritized target in the intestine OMAP.,intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
OMAP-2,Q02817,HGNC:7512,MUC2,Mouse,IgG1,Monoclonal,996/1,Novus Biologicals,NB120-11197,,N,,200,Oligonucleotide,AB_791261,CODEX,Fresh frozen,12,Cy5,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,N,Used for identification of goblet cells. This marker represents a prioritized target in the intestine OMAP.,intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
OMAP-2,P16284,HGNC:8823,PECAM1,Mouse,IgG1 kappa,Monoclonal,WM59,BD Biosciences,555444,,N,,200,Oligonucleotide,AB_395837,CODEX,Fresh frozen,13,Cy3,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,N,Used for visualization of blood endothelial cells and vessels. This marker represents a prioritized target in the intestine OMAP.,intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
OMAP-2,P13591,HGNC:7656,NCAM1,Mouse,IgG1 kappa,Monoclonal,B159,BD Biosciences,555514,,N,,100,Oligonucleotide,AB_395904,CODEX,Fresh frozen,13,Cy5,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,N,Used for identification of NK cells and neural cells. This marker represents a prioritized target in the intestine OMAP.,intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
OMAP-2,P16671,HGNC:1663,CD36,Mouse,IgM kappa,Monoclonal,CB38 (NL07),BD Biosciences,555453,,N,,200,Oligonucleotide,AB_395846,CODEX,Fresh frozen,14,Cy3,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,N,Used for visualization of blood and lymphatic endothelial cells and vessels.,intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
OMAP-2,Q8WWA0,HGNC:18259,ITLN1,Sheep,IgG,Polyclonal,,R&D Systems,AF4254,,N,,200,Oligonucleotide,AB_2129678,CODEX,Fresh frozen,14,Cy5,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,N,Used for identification of early secretory goblet cells.,intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
OMAP-2,Q07108,HGNC:1694,CD69,Mouse,IgG1 kappa,Monoclonal,FN50,BioLegend,310902,,N,,500,Oligonucleotide,AB_314837,CODEX,Fresh frozen,15,Cy3,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,N,Used to define a particular T cell activation state.,intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
OMAP-2,P18827,HGNC:10658,SDC1,Mouse,IgG1 kappa,Monoclonal,MI15,BioLegend,356502,,N,,200,Oligonucleotide,AB_2561790,CODEX,Fresh frozen,15,Cy5,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,Y,Key marker for plasma cells and broadly expressed on epithelial cells. This marker represents a core panel and prioritized target in the intestine OMAP.,intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
OMAP-2,P48436,HGNC:11204,SOX9,Rabbit,IgG,Monoclonal,D8G8H,Cell Signaling Technology,82630,,N,,100,Oligonucleotide,AB_2665492,CODEX,Fresh frozen,16,Cy3,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,N,Used for identification of transit amplifying cells.,intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
OMAP-2,P01732,HGNC:1706,CD8A,Mouse,IgG1 kappa,Monoclonal,SK1,BioLegend,344702,,N,,200,Oligonucleotide,AB_1877104,CODEX,Fresh frozen,16,Cy5,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,N,Used for identification of CD8+ T cells. This marker represents a prioritized target in the intestine OMAP.,intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
OMAP-2,P56199,HGNC:6134,ITGA1,Mouse,IgG1 kappa,Monoclonal,TS2/7,BioLegend,328302,,N,,100,Oligonucleotide,AB_1236385,CODEX,Fresh frozen,17,Cy3,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,N,Expressed by stromal cells as well as smooth muscle cells,intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
OMAP-2,P23229,HGNC:6142,ITGA6,Rat,IgG2a kappa,Monoclonal,GoH3,BD Biosciences,555734,,N,,50,Oligonucleotide,AB_2296273,CODEX,Fresh frozen,17,Cy5,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,N,Used for visualization of intestinal crypt stem cells.,intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
OMAP-2,P08575,HGNC:9666 ,PTPRC,Mouse,IgG1 kappa,Monoclonal,HI30,BioLegend,304002,,N,,500,Oligonucleotide,AB_314390,CODEX,Fresh frozen,18,Cy3,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,Y,This marker cannot be used to define a specific anatomical structure but is expressed by all hematopoietic cells. This marker represents a prioritized target in the intestine OMAP and can be used for downstream image analysis.,intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
OMAP-2,P10415,HGNC:990,BCL2,Mouse,IgG1,Monoclonal,124,Nolan Lab,226M,,N,,200,Oligonucleotide,AB_2864404,CODEX,Fresh frozen,18,Cy5,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,N,Used for visualization of various immune cells.,intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
OMAP-2,P16070,HGNC:1681,CD44,Rat,IgG2b kappa,Monoclonal,IM7,BioLegend,103002,,N,,200,Oligonucleotide,AB_312953,CODEX,Fresh frozen,19,Cy3,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,N,"This antibody labels endothelial cells, mesenchymal cells, and reports the activation status of several immune cell subsets.",intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
OMAP-2,Q86YL7,HGNC:29602,PDPN,Rat,IgG2a delta,Monoclonal,NC-08,BioLegend,337002,,N,,100,Oligonucleotide,AB_1595511,CODEX,Fresh frozen,19,Cy5,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,N,Used for visualization of lacteals (lymphatic endothelial cells) and fibroblasts. This marker represents a prioritized target in the intestine OMAP.,intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
OMAP-2,P02462,HGNC:2202,COL4A1,Rabbit,IgG,Polyclonal,,Abcam,ab6586,,N,,200,Oligonucleotide,AB_305584,CODEX,Fresh frozen,20,Cy3,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,N,"Used for visualization of the basal membrane and extracellular matrix. The combination of collagen IV, pan-cytokeratin, alpha smooth muscle actin, and vimentin can be used to define the villi, crypts, basal membrane, and lamina propria.",intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
OMAP-2,Q86VB7,HGNC:1631,CD163,Mouse,IgG1 kappa,Monoclonal,GHI/61,BioLegend,333602,,N,,100,Oligonucleotide,AB_1088991,CODEX,Fresh frozen,20,Cy5,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,N,Used for identification of M2 macrophages. This marker represents a prioritized target in the intestine OMAP.,intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
OMAP-2,Q6UX06,HGNC:17190,OLFM4,Mouse,IgG1,Monoclonal,12,Thermo Fisher Scientific,MA5-29457,,N,,100,Oligonucleotide,AB_2785318,CODEX,Fresh frozen,21,Cy3,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,N,Used for identification of intestinal crypt stem cells of small intestine.,intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
OMAP-2,P22897,HGNC:7228,MRC1,Mouse,IgG1 kappa,Monoclonal,15-2,BioLegend,321102,,N,,200,Oligonucleotide,AB_571923,CODEX,Fresh frozen,21,Cy5,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,N,Used for identification of M2 macrophages. This marker represents a prioritized target in the intestine OMAP.,intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
OMAP-2,Q01523,HGNC:2764,DEFA5,Rabbit,IgG,Monoclonal,EPR14309(B),Abcam,ab245946,,N,,200,Oligonucleotide,AB_2864387,CODEX,Fresh frozen,22,Cy5,https://doi.org/10.1038/s41596-021-00556-8,0000-0001-9961-7673,N,Used for identification of Paneth cells. This marker represents a prioritized target in the intestine OMAP.,intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
